video_id,video_path,start_time,end_time,text_english,gloss_asl
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:07.920,00:00:09.920,"Recently, we got a big news.","DESC-RECENTLY, X-WE GET DESC-BIG NEWS."
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:10.000,00:00:13.800,"Large studies of sexually active HIV positive gay men,","DESC-LARGE STUDY DESC-SEXUALLY DESC-ACTIVE VIH HIV DESC-POSITIVE DESC-GAY MAN,"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:13.860,00:00:19.540,"who are on medicine and have low or undetectable viral load,","WHO BE ON MEDICINE AND HAVE DESC-LOW OR DESC-UNDETECTABLE VIRGIN LOAD,"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:19.540,00:00:24.200,has proven that there’s NO HIV transmission.,HAVE PROVE THAT DESC-RE BE NO HIV TRANSMISSION.
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:26.400,00:00:32.000,9th International AIDS Society Conference on HIV Science was told:,DESC-9TH DESC-INTERNATIONAL SIDA SOCIETY CONFERENCE ON HIV SCIENCE BE TELL :
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:32.140,00:00:37.160,"A study of 343 gay couples, where one partner had HIV and the other did not,","STUDY 343 DESC-GAY COUPLE, WHERE ONE PARTNER HAVE HIV AND DESC-OR DO DESC-NOT,"
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:37.160,00:00:46.700,"has found NO case of HIV transmission in 16,889 acts of condomless anal sex.","HAVE FIND NO CASE VIH HIV TRANSMISSION IN 16,889 ACT CONDOMLESS DESC-ANAL SEX."
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:47.580,00:00:53.240,The Opposites Attract study looked at whether HIV is transmitted between gay male couples,OPPOSITE ATTACH STUDY LOOK AT WHER VIHOD BE TRANSMIT BETWEEN DESC-GAY MALE COUPLE
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:53.240,00:00:56.100,of different HIV status,DESC-DIFFERENT VIH STATUS
-pmxWiKbldg,data/-pmxWiKbldg/-pmxWiKbldg.mp4,00:00:56.100,00:01:01.420,when the HIV-positive partner is on treatment that fully suppresses HIV.,WHEN VIH-POSITIVE PARTNER BE ON TREATMENT THAT DESC-FULLY SUPPRESS VIH.
