video_id,video_path,start_time,end_time,text_english,gloss_asl,palabras_en,palabras_asl,ratio_longitud
m9y_reVkkCk,data/m9y_reVkkCk/m9y_reVkkCk.mp4,00:01:25.480,00:01:39.360,In 1793 the new invention spread among the plantations. The machine known as the Cotton Engine.,MACHINE KNOW AS COTON ENGINE. SPREAD AMONG PLANTATION.,16,8,0.49999687501953116
RYTuD7bXltA,data/RYTuD7bXltA/RYTuD7bXltA.mp4,00:01:04.880,00:01:07.440,the 2016 Poet of the year.,2016 POET YEAR.,6,3,0.49999166680555324
2fxtI59FmNs,data/2fxtI59FmNs/2fxtI59FmNs.mp4,00:01:54.102,00:01:58.532,"1-MONTH, MONTH","1-MONTH,MONTH",2,1,0.49997500124993743
2fxtI59FmNs,data/2fxtI59FmNs/2fxtI59FmNs.mp4,00:02:02.843,00:02:08.583,"NIGHT, TONIGHT","NIGHT,TONIGHT",2,1,0.49997500124993743
GhW-Vo0-w8k,data/GhW-Vo0-w8k/GhW-Vo0-w8k.mp4,00:11:37.113,00:11:39.740,of the country.,COUNTRY.,3,1,0.3333222225925802
tvqOoM7pG8Q,data/tvqOoM7pG8Q/tvqOoM7pG8Q.mp4,00:02:48.160,00:02:54.560,an episode of illness,EPISODE ILLNESS,4,2,0.49998750031249223
tvqOoM7pG8Q,data/tvqOoM7pG8Q/tvqOoM7pG8Q.mp4,00:03:03.360,00:03:08.800,any of the following,ANY FOLLOW,4,2,0.49998750031249223
AgSISCer2m0,data/AgSISCer2m0/AgSISCer2m0.mp4,00:00:37.584,00:00:41.500,That’s all for now — take care of yourselves and enjoy your week! Much love. 🤟🏼,?? CARE YOURSELVE AND ENJOY X-YOU WEEK?,16,7,0.43749726564208974
2gW2DsesmvY,data/2gW2DsesmvY/2gW2DsesmvY.mp4,00:00:10.100,00:00:17.800,"What is DOVE? Deaf Overcoming Violence through Empowerment. I'm Katie, name sign","X-I BE KATIE, NAME SIGN",12,5,0.4166631944733794
O-06daRZkrY,data/O-06daRZkrY/O-06daRZkrY.mp4,00:06:34.152,00:06:40.835,which is likely another reason⁠ the Israelites are terrified of them.,ISRAELI BE DESC-TERRIFYED X-Y.?,11,4,0.363633057881292
2gW2DsesmvY,data/2gW2DsesmvY/2gW2DsesmvY.mp4,00:00:51.800,00:00:58.100,"and hard of hearing individuals who experience abuse. My name is Avi, name sign","X-MY NAME BE AVOID, NAME SIGN",14,6,0.4285683673688045
2gW2DsesmvY,data/2gW2DsesmvY/2gW2DsesmvY.mp4,00:00:58.200,00:01:02.000,. I'm a DOVE staff member. Keep your eyes peeled for more,KEEP X-YOU EYE PEE FOR MORE,12,6,0.49999583336805525
6ibLm_CpHbY,data/6ibLm_CpHbY/6ibLm_CpHbY.mp4,00:01:37.104,00:01:38.609,Do you want to join? You can!,X-YOU CAN! JOIN?,7,3,0.4285653062099113
zGn94559Yxc,data/zGn94559Yxc/zGn94559Yxc.mp4,00:02:34.120,00:02:38.624,hand upon the horns of the,HAND UPON HORN,6,3,0.49999166680555324
6ibLm_CpHbY,data/6ibLm_CpHbY/6ibLm_CpHbY.mp4,00:03:42.133,00:03:43.890,You can buy a ticket. Where?,WHERE? BUY TICKET.,6,3,0.49999166680555324
O-06daRZkrY,data/O-06daRZkrY/O-06daRZkrY.mp4,00:07:28.625,00:07:30.960,a descendant of Abraham.,SUSPENDANT ABRAHAM.,4,2,0.49998750031249223
K23fgDBdFII,data/K23fgDBdFII/K23fgDBdFII.mp4,00:05:27.880,00:05:45.440,"so, this means you can see old signs. How ASL is different, how different the signs used to be","HOW DESC-ADVERSE, HOW DESC-DIFFERENT SIGN USE TO BE",19,8,0.4210504155241288
AGtckpG86DE,data/AGtckpG86DE/AGtckpG86DE.mp4,00:02:06.500,00:02:15.460,it isn’t as stark as most people think it is. This also can resonate with a lot of people since Victor is,THIS DESC-ALSO CAN RESONATE WITH LOT PEOPLE SINCE VICTOR BE,22,10,0.45454338843914344
